번호	광고그룹	키워드
1	수도권1호선	가능역
2	수도권1호선	가산디지털단지역
3	수도권1호선	간석역
4	수도권1호선	개봉역
5	수도권1호선	관악역
6	수도권1호선	광명역
7	수도권1호선	광운대역
8	수도권1호선	구로역
9	수도권1호선	구일역
10	수도권1호선	군포역
11	수도권1호선	금정역
12	수도권1호선	금천구청역
13	수도권1호선	남영역
14	수도권1호선	노량진역
15	수도권1호선	녹양역
16	수도권1호선	녹천역
17	수도권1호선	당정역
18	수도권1호선	대방역
19	수도권1호선	덕계역
20	수도권1호선	덕정역
21	수도권1호선	도봉역
22	수도권1호선	도봉산역
23	수도권1호선	도원역
24	수도권1호선	도화역
25	수도권1호선	독산역
26	수도권1호선	동대문역
27	수도권1호선	동두천역
28	수도권1호선	동두천중앙역
29	수도권1호선	동묘앞역
30	수도권1호선	동암역
31	수도권1호선	동인천역
32	수도권1호선	두정역
33	수도권1호선	망월사역
34	수도권1호선	명학역
35	수도권1호선	방학역
36	수도권1호선	배방역
37	수도권1호선	백운역
38	수도권1호선	병점역
39	수도권1호선	보산역
40	수도권1호선	봉명역
41	수도권1호선	부개역
42	수도권1호선	부천역
43	수도권1호선	부평역
44	수도권1호선	서동탄역
45	수도권1호선	서울역
46	수도권1호선	서정리역
47	수도권1호선	석계역
48	수도권1호선	석수역
49	수도권1호선	성균관대역
50	수도권1호선	성환역
51	수도권1호선	세류역
52	수도권1호선	세마역
53	수도권1호선	소사역
54	수도권1호선	소요산역
55	수도권1호선	송내역
56	수도권1호선	송탄역
57	수도권1호선	수원역
58	수도권1호선	시청역
59	수도권1호선	신길역
60	수도권1호선	신도림역
61	수도권1호선	신설동역
62	수도권1호선	신이문역
63	수도권1호선	신창역
64	수도권1호선	쌍용역
65	수도권1호선	아산역
66	수도권1호선	안양역
67	수도권1호선	양주역
68	수도권1호선	역곡역
69	수도권1호선	영등포역
70	수도권1호선	오류동역
71	수도권1호선	오산역
72	수도권1호선	오산대역
73	수도권1호선	온수역
74	수도권1호선	온양온천역
75	수도권1호선	외대앞역
76	수도권1호선	용산역
77	수도권1호선	월계역
